user_text,predicted_label,edit_count
Happytravels,Geography.Regions.Europe.Western_Europe,501
EinBeitrag,Geography.Regions.Americas.North_America,500
Happytravels,Culture.Biography.Biography*,498
Hyperion82,Culture.Sports,497
InternetArchiveBot,Geography.Regions.Americas.North_America,497
L'Ospite Inatteso,Culture.Biography.Biography*,496
Newsjunkie,Culture.Media.Media*,496
CodeMars04,Geography.Regions.Americas.South_America,495
Dmartyn80,Culture.Media.Media*,494
InternetArchiveBot,Geography.Regions.Asia.Asia*,494
Agwjkl,Culture.Media.Television,493
EinBeitrag,Geography.Regions.Europe.Western_Europe,493
Egidio24,Geography.Regions.Europe.Southern_Europe,492
InternetArchiveBot,Geography.Regions.Europe.Western_Europe,492
Mr.Ibrahembot,History_and_Society.Politics_and_government,492
ШаманСемен,History_and_Society.History,492
باسم,Geography.Regions.Asia.West_Asia,491
YogSothoth,Culture.Biography.Biography*,490
Blobstar,Culture.Media.Media*,489
Eletro 16,Culture.Media.Films,487
LUISMOSQUERA99,Culture.Sports,485
IgorCalzone1,Culture.Media.Films,483
Muatsem90,Culture.Media.Media*,482
Falip,Culture.Sports,481
Felixpf,Culture.Sports,481
Telenovelafan215,Culture.Media.Media*,481
Motogp72,Culture.Sports,480
SeroBOT,Culture.Literature,480
Waldunio17,Culture.Sports,480
Sldst-bot,Culture.Media.Media*,479
SerYoga,Culture.Media.Films,477
Ariam,Geography.Regions.Europe.Northern_Europe,473
Eandré,Geography.Regions.Asia.West_Asia,473
King10,Culture.Media.Media*,472
Ragozin-2017,History_and_Society.History,472
MarEv98,Culture.Sports,471
GustavoCza,Culture.Media.Media*,470
Topolgnussy,Culture.Media.Media*,470
ESC0601,Culture.Visual_arts.Visual_arts*,469
Nazwa1234,Culture.Biography.Biography*,468
Jerezlakes,Culture.Media.Entertainment,467
Georg Hügler,STEM.STEM*,466
Pichu VI,Culture.Biography.Biography*,465
Soulreaper,Culture.Biography.Biography*,465
TijnM,Culture.Sports,464
Nicolauskas,Culture.Biography.Biography*,463
AltaicWarrior,Culture.Sports,462
Luke Stark 96,Culture.Visual_arts.Comics_and_Anime,461
Rey1996ss,Culture.Sports,460
Ariam,Culture.Biography.Biography*,458
SeroBOT,Geography.Regions.Americas.Central_America,458
Guy23311,Culture.Media.Media*,457
Moiikke,Culture.Sports,457
Cyclone605,Culture.Biography.Biography*,455
Helga Regin,Culture.Internet_culture,455
Nikolay Omonov,Geography.Regions.Europe.Eastern_Europe,455
Mason.Jones,Geography.Regions.Americas.North_America,453
Juan Pop Gamer,Culture.Media.Media*,452
Lucasejwertz,Culture.Sports,451
NnieAndersson,Geography.Regions.Europe.Northern_Europe,451
Settenoteinnero,Culture.Sports,450
Atlante,Culture.Sports,448
Citation bot,Geography.Regions.Europe.Europe*,448
DW18900,Culture.Sports,445
Luicheto,Culture.Biography.Biography*,445
Mohammdaon,Culture.Biography.Biography*,445
Citation bot,Geography.Regions.Asia.South_Asia,443
LCont5,Culture.Sports,443
Micnl,Culture.Sports,441
Osnenzo,Culture.Media.Media*,440
Redf0x,Culture.Biography.Biography*,440
SchlurcherBot,STEM.STEM*,440
Lex2109,Culture.Media.Media*,439
Mr.Ibrahembot,History_and_Society.Military_and_warfare,439
BeyPolite,Culture.Media.Media*,438
Joey Camelaroche,Culture.Media.Media*,438
Términus,Geography.Regions.Asia.West_Asia,438
SeroBOT,Geography.Regions.Europe.Western_Europe,437
Il buon ladrone,Culture.Sports,435
ArturSik,Culture.Media.Media*,434
Дементьева Роман,Culture.Sports,433
Botcrux,Geography.Regions.Europe.Europe*,432
Mr.Ibrahembot,Culture.Media.Films,432
Pennenetui3000,Geography.Regions.Europe.Western_Europe,432
Барвенковский,Culture.Biography.Biography*,431
Onui2,Culture.Sports,430
WIKI-WOLVERINE,Geography.Regions.Europe.Europe*,430
Serecki,Geography.Regions.Europe.Eastern_Europe,427
Lost in subtitles,Culture.Media.Media*,426
OhMyGoat-Futbol,Culture.Sports,426
VidelaGutierrez,Culture.Sports,425
KinoFan2021,Culture.Media.Media*,423
Leonpolanco,Culture.Biography.Biography*,423
Sangjinhwa,Culture.Sports,422
Mohammdaon,Culture.Media.Media*,420
Tenebra Blu,Culture.Sports,419
BrookTheHumming,Culture.Media.Films,418
Invisigoth67,STEM.STEM*,417
MBHbot,Culture.Media.Media*,417
Djmx03,Culture.Media.Television,415
Elmefrio,Culture.Sports,415
Automoderador,Geography.Regions.Americas.North_America,414
SeroBOT,Geography.Regions.Asia.Asia*,414
CHr0m4tiko0,Culture.Biography.Biography*,413
Spaniel2020,Culture.Sports,413
Luisalvaz,Culture.Biography.Biography*,412
InternetArchiveBot,Culture.Philosophy_and_religion,411
MalarzBOT,Culture.Biography.Biography*,411
Montgomery,Culture.Sports,411
Alex NB OT,Culture.Media.Music,410
PasqualeIndulgenza,Culture.Biography.Biography*,410
WassimUS01,Culture.Biography.Biography*,410
Οἶδα,Culture.Media.Media*,410
AndrzeiBOT,Culture.Biography.Biography*,409
FMSky,Culture.Biography.Biography*,409
InternetArchiveBot,Geography.Regions.Europe.Northern_Europe,409
حسن علي البط,Culture.Biography.Biography*,409
PublicDomainFan08,Geography.Regions.Americas.North_America,408
Chrisahn,Culture.Media.Media*,406
Q-bit array,Culture.Media.Media*,406
JossGoddard,Culture.Visual_arts.Comics_and_Anime,405
Quri.inka,Culture.Sports,405
ErikvanB,Geography.Regions.Europe.Western_Europe,404
Joule85,Culture.Biography.Biography*,404
Minguu,Culture.Biography.Biography*,404
Jlo Fan 1999,Culture.Media.Music,403
SeroBOT,History_and_Society.Military_and_warfare,403
Luicheto,Geography.Regions.Europe.Europe*,400
Mr.Ibrahembot,Geography.Regions.Americas.North_America,399
CommonsDelinker,Geography.Regions.Americas.South_America,398
César,Culture.Media.Media*,398
Deirdre,Culture.Media.Media*,398
Marcelo,Geography.Regions.Americas.South_America,398
Sldst-bot,STEM.STEM*,398
Wolfgang,Culture.Sports,398
KvaraWolves88,Culture.Sports,397
SeroBOT,Culture.Visual_arts.Visual_arts*,397
CommonsDelinker,Geography.Regions.Asia.Asia*,396
Rotspechter,Culture.Biography.Biography*,396
SIMV 40% 500 ml,Culture.Sports,396
Ferxxo3052,Culture.Media.Television,395
Sailorsfriend,Culture.Media.Media*,394
Términus,Culture.Media.Media*,393
Casisgaal,Culture.Sports,392
CommonsDelinker,Geography.Regions.Europe.Europe*,392
Egidio24,Culture.Sports,392
Mr.Ibrahembot,Geography.Regions.Europe.Europe*,392
Vega,STEM.STEM*,392
Letstown,Geography.Regions.Americas.North_America,391
Adoll27,Culture.Sports,389
Muhends,Geography.Regions.Asia.Asia*,389
AnticoMu90,Culture.Media.Media*,388
Automoderador,Geography.Regions.Europe.Southern_Europe,388
Johnny T,Culture.Biography.Biography*,388
RuedNL2,Geography.Regions.Europe.Western_Europe,388
McLovin2511,Geography.Regions.Americas.South_America,387
Freddyballo,Culture.Sports,385
Yoyo360,Culture.Media.Media*,383
Vlad Football,Culture.Sports,382
EinBeitrag,Culture.Philosophy_and_religion,381
MeleMeleVisione,Geography.Regions.Europe.Southern_Europe,381
Aleksei m,Culture.Philosophy_and_religion,380
Mareczekkk,Geography.Regions.Europe.Eastern_Europe,380
Oltrepier,Geography.Regions.Europe.Southern_Europe,379
RuedNL2,Culture.Media.Music,378
Bakermannn,Culture.Sports,377
ELTISAFE,Culture.Sports,377
PePeEfe,STEM.STEM*,377
Maddavid777,Culture.Sports,376
Superspritz,Culture.Media.Media*,376
France3c0,Culture.Media.Music,375
Донцек,Culture.Biography.Biography*,374
Norbert zeescouts,Culture.Philosophy_and_religion,373
SERGIO PRO215,Culture.Sports,373
Wikinger08,Geography.Regions.Europe.Western_Europe,371
Californipedia,Culture.Sports,369
Schotterebene,Culture.Biography.Biography*,369
YGO24895,Culture.Media.Media*,368
Berid,Geography.Regions.Asia.West_Asia,366
Ennomien,Culture.Media.Media*,366
Fabian RRRR,STEM.Space,366
Marco127310,Geography.Regions.Europe.Europe*,366
Eichel-Streiber,Culture.Sports,365
MenoBot,Geography.Regions.Asia.Asia*,365
Josedm,Geography.Regions.Americas.South_America,364
Sayatek,Geography.Regions.Europe.Southern_Europe,364
Schilderwaldmeister,Geography.Regions.Europe.Europe*,363
باسم,Culture.Philosophy_and_religion,363
Miki1234568,Geography.Regions.Americas.North_America,362
Anzu2407,Culture.Sports,361
Mishary94,Culture.Sports,361
Xuppu4276,Geography.Regions.Americas.Central_America,361
Broad-Rat,Culture.Media.Media*,360
De Jaren,History_and_Society.History,360
Elephant1989,Culture.Sports,360
MalarzBOT,Geography.Regions.Europe.Europe*,360
Minorax,Culture.Biography.Biography*,360
Moxmarco,Culture.Media.Media*,360
Jose L Emiliano,Geography.Regions.Americas.South_America,359
Frognall,Culture.Literature,357
Sokrates 399,Culture.Biography.Biography*,357
SuperbikeHistory,Culture.Sports,357
BrookTheHumming,Culture.Media.Media*,356
Il buon ladrone,Culture.Biography.Biography*,356
LolloJuventus,Culture.Sports,356
Yeshalove,Culture.Philosophy_and_religion,356
Marbe166,UNKNOWN,355
PasqualeIndulgenza,Culture.Media.Media*,355
Términus,Culture.Biography.Biography*,355
Grafeius,Culture.Sports,354
Achmad Rachmani,Geography.Regions.Asia.South_Asia,353
Decimaagus,Culture.Sports,353
Montgomery,Culture.Biography.Biography*,353
Mortgage,Culture.Media.Video_games,353
RonaldPlate,Culture.Media.Media*,352
علاء,STEM.STEM*,352
BrookTheHumming,Culture.Literature,351
Georg Hügler,Geography.Regions.Asia.West_Asia,351
~2025-31878-8,Geography.Regions.Europe.Europe*,351
Bernhard Diener,Culture.Biography.Biography*,350
ItsTheRealMaik,Culture.Sports,350
NoonIcarus,Geography.Regions.Americas.South_America,350
SchlurcherBot,Geography.Regions.Europe.Europe*,350
Lost in subtitles,STEM.STEM*,349
Marima,Geography.Regions.Europe.Northern_Europe,349
Jet Jerry,Culture.Media.Films,348
Luis García Romero,Culture.Sports,348
MaximPol07,Culture.Biography.Biography*,348
MentNFG,Culture.Sports,348
ElBarcobasurero,Geography.Regions.Americas.South_America,346
Eletro 16,Culture.Visual_arts.Comics_and_Anime,346
De Wikischim,History_and_Society.History,345
Lk95,Culture.Media.Music,345
Pizzu5,Culture.Sports,345
InternetArchiveBot,Culture.Media.Films,344
Runab,Culture.Visual_arts.Visual_arts*,344
Topolgnussy,Culture.Media.Music,344
باسم,Geography.Regions.Asia.Asia*,344
عمر 154,Geography.Regions.Asia.Asia*,344
Pessimist2006,Geography.Regions.Asia.Asia*,343
Pyy,Geography.Regions.Europe.Northern_Europe,342
Eduardosalg,Culture.Media.Television,341
EyeBot,Culture.Media.Music,340
Wikisteveb4,Culture.Media.Media*,340
Aggie2,Culture.Media.Television,339
Laurier,Culture.Biography.Biography*,339
Sfs90,Geography.Regions.Americas.South_America,339
SilverShadow2,Geography.Regions.Europe.Southern_Europe,339
رشيدة رقي,Geography.Regions.Africa.Northern_Africa,339
FMPG15,Culture.Sports,338
Minguu,Culture.Sports,338
Xabier,Culture.Biography.Biography*,338
Egimar,Culture.Media.Media*,337
Ennomien,Geography.Regions.Europe.Western_Europe,337
Masti,Geography.Regions.Europe.Europe*,337
RixToken2007,Culture.Biography.Biography*,337
Wilalexxx,Culture.Sports,337
Michiger,Geography.Regions.Americas.South_America,336
Oeleau,Geography.Regions.Europe.Europe*,336
Tiburonboliviano,Geography.Regions.Americas.South_America,336
Automoderador,Culture.Philosophy_and_religion,334
IvanScrooge98,Culture.Biography.Biography*,334
185.194.51.156,Culture.Sports,333
Jefunky,Geography.Regions.Asia.West_Asia,333
Siatico,Culture.Media.Media*,333
Кухарь Анатолий,Culture.Media.Films,332
Abalpay5,Culture.Sports,331
Szturnek,Geography.Regions.Europe.Eastern_Europe,331
TheDanStarko,Geography.Regions.Europe.Northern_Europe,331
FMSky,Geography.Regions.Americas.North_America,330
Milton.08aaa,Culture.Biography.Biography*,330
Patrickpedia,Culture.Biography.Biography*,330
Pichu VI,Culture.Media.Films,330
Aggie2,Culture.Media.Media*,329
Arabsalam,Geography.Regions.Americas.North_America,329
Boca Juniors Querido,Culture.Sports,329
Diego1980,Culture.Sports,329
