user_text,Geography.Geographical,Geography.Regions.Africa.Africa*,Geography.Regions.Africa.Central_Africa,Geography.Regions.Africa.Eastern_Africa,Geography.Regions.Africa.Northern_Africa,Geography.Regions.Africa.Southern_Africa,Geography.Regions.Africa.Western_Africa,Geography.Regions.Americas.Central_America,Geography.Regions.Americas.North_America,Geography.Regions.Americas.South_America,Geography.Regions.Asia.Asia*,Geography.Regions.Asia.Central_Asia,Geography.Regions.Asia.East_Asia,Geography.Regions.Asia.North_Asia,Geography.Regions.Asia.South_Asia,Geography.Regions.Asia.Southeast_Asia,Geography.Regions.Asia.West_Asia,Geography.Regions.Europe.Eastern_Europe,Geography.Regions.Europe.Europe*,Geography.Regions.Europe.Northern_Europe,Geography.Regions.Europe.Southern_Europe,Geography.Regions.Europe.Western_Europe,Geography.Regions.Oceania,total,top_label
Automoderador,33,99,0,0,15,2,0,102,414,861,127,1,43,15,6,5,84,61,274,86,388,93,20,2729,Geography.Regions.Americas.South_America
Aka,19,97,0,0,6,0,0,40,189,42,121,0,22,5,6,14,137,67,642,50,58,834,8,2357,Geography.Regions.Europe.Western_Europe
Pessimist2006,3,7,0,0,0,0,0,1,28,0,343,0,6,43,0,1,1021,67,307,6,329,117,1,2280,Geography.Regions.Asia.West_Asia
MenoBot,30,263,0,0,188,0,1,11,72,40,365,1,13,12,13,1,702,22,112,26,32,57,2,1963,Geography.Regions.Asia.West_Asia
Invisigoth67,11,64,0,0,2,0,0,15,214,23,89,0,23,5,3,6,127,39,567,35,42,622,15,1902,Geography.Regions.Europe.Western_Europe
Valdroby,0,7,0,0,0,0,0,0,1,0,27,0,0,2,0,0,0,36,1742,0,1,0,0,1816,Geography.Regions.Europe.Europe*
Botcrux,15,81,0,0,6,0,0,27,69,56,97,1,16,16,4,6,53,37,432,42,668,87,8,1721,Geography.Regions.Europe.Southern_Europe
Nikolay Omonov,4,0,0,0,0,0,0,2,3,0,200,0,0,158,0,1,47,455,566,0,61,158,6,1661,Geography.Regions.Europe.Europe*
DannRodPa055,0,0,0,0,0,0,0,0,0,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,1625,Geography.Regions.Americas.South_America
BOT-Superzerocool,11,54,0,0,18,0,0,75,153,545,60,1,31,4,1,6,97,19,125,23,237,48,12,1520,Geography.Regions.Americas.South_America
SchlurcherBot,35,48,0,1,6,0,0,16,98,29,72,1,16,16,10,6,35,267,350,32,173,279,15,1505,Geography.Regions.Europe.Europe*
MalarzBOT,48,61,0,0,2,0,0,12,62,21,76,1,6,7,1,3,26,678,360,26,32,55,15,1492,Geography.Regions.Europe.Eastern_Europe
KiranBOT,2,31,0,0,6,0,0,16,212,109,155,3,28,21,176,35,118,83,175,27,130,148,8,1483,Geography.Regions.Americas.North_America
NnieAndersson,26,281,0,0,1,0,0,125,41,163,114,2,7,5,0,8,4,31,86,451,18,40,68,1471,Geography.Regions.Europe.Northern_Europe
باسم,10,122,0,0,151,0,0,4,69,5,344,0,0,5,5,0,491,25,116,19,16,42,20,1444,Geography.Regions.Asia.West_Asia
HurricaneEdgar,0,1,0,0,0,0,0,4,4,0,1300,0,2,1,0,12,75,1,10,0,0,0,0,1410,Geography.Regions.Asia.Asia*
Egidio24,16,51,0,0,1,0,0,26,90,52,81,1,18,15,7,2,57,32,298,35,492,84,5,1363,Geography.Regions.Europe.Southern_Europe
De Wikischim,4,50,0,0,0,0,0,1,4,2,8,0,3,0,0,0,52,51,880,2,4,210,0,1271,Geography.Regions.Europe.Europe*
LNTG,21,24,0,0,0,0,0,10,34,15,227,7,7,305,3,2,7,222,264,8,3,45,10,1214,Geography.Regions.Asia.North_Asia
"Weiß, Ruth",0,0,0,0,0,0,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,1212,Geography.Regions.Asia.Asia*
EinBeitrag,1,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,61,0,111,2,0,493,0,1168,Geography.Regions.Americas.North_America
MBHbot,14,15,0,0,1,0,0,5,47,7,207,5,22,166,4,4,37,205,288,20,14,46,10,1117,Geography.Regions.Europe.Europe*
Jamie Eilat,0,0,0,0,0,0,0,0,1023,0,5,0,1,0,0,0,55,0,1,0,0,8,0,1093,Geography.Regions.Americas.North_America
علاء,14,112,0,0,113,0,0,3,33,3,156,0,1,1,5,0,543,4,54,5,8,22,4,1081,Geography.Regions.Asia.West_Asia
Lojwe,0,6,0,0,4,0,0,6,37,40,8,0,1,0,0,1,6,9,147,5,766,10,2,1048,Geography.Regions.Europe.Southern_Europe
Sldst-bot,14,25,0,0,0,0,0,7,36,16,203,0,21,181,2,5,34,209,198,21,15,39,9,1035,Geography.Regions.Europe.Eastern_Europe
Mirmok12,3,5,0,0,0,0,0,0,33,8,4,0,2,0,0,0,4,12,295,16,9,570,2,963,Geography.Regions.Europe.Western_Europe
FrescoBot,10,27,0,1,3,0,0,20,91,48,57,0,21,7,22,5,31,28,190,27,316,40,9,953,Geography.Regions.Europe.Southern_Europe
Nicolauskas,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,2,0,880,52,0,0,2,0,943,Geography.Regions.Europe.Eastern_Europe
Ziv,7,27,0,0,18,1,0,79,72,30,81,0,16,34,14,3,94,58,152,24,42,144,4,900,Geography.Regions.Europe.Europe*
بداح,8,16,0,0,16,0,0,1,21,1,200,0,0,6,0,0,508,27,21,10,2,28,3,868,Geography.Regions.Asia.West_Asia
LokasBot,9,84,0,0,126,0,0,0,53,9,137,1,9,6,8,3,325,10,33,5,16,27,0,861,Geography.Regions.Asia.West_Asia
Yger,4,14,0,0,2,0,0,1,18,4,12,0,0,3,1,1,18,16,59,689,5,10,2,859,Geography.Regions.Europe.Northern_Europe
Vicpeters,2,2,0,0,0,0,0,808,3,0,5,0,0,5,0,1,0,3,6,1,0,1,0,837,Geography.Regions.Americas.Central_America
Frank Lloyd Wright 2,0,24,0,0,0,0,0,1,64,20,15,0,6,1,0,0,39,35,216,52,36,317,9,835,Geography.Regions.Europe.Western_Europe
Miki1234568,1,28,0,0,0,0,0,46,362,0,35,0,0,0,5,0,37,210,16,90,0,2,2,834,Geography.Regions.Americas.North_America
Elfhelm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,186,6,10,18,0,834,Geography.Regions.Europe.Eastern_Europe
ShabeBot,7,7,0,0,0,0,0,1,13,11,170,2,16,138,0,2,36,149,215,10,20,31,5,833,Geography.Regions.Europe.Europe*
Georg Hügler,1,7,0,0,0,0,0,3,47,9,133,0,16,14,1,1,351,6,113,5,1,123,0,831,Geography.Regions.Asia.West_Asia
Jefunky,2,39,0,0,0,0,0,44,23,14,153,0,0,0,0,0,333,3,116,5,7,69,0,808,Geography.Regions.Asia.West_Asia
Davide King,1,1,0,0,0,0,0,0,586,0,5,0,2,0,0,10,4,0,41,3,17,18,116,804,Geography.Regions.Americas.North_America
Zerojosefer,2,3,0,0,0,0,0,17,18,657,6,0,5,1,0,0,6,4,41,2,15,16,1,794,Geography.Regions.Americas.South_America
Guise,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,100,11,0,675,0,793,Geography.Regions.Europe.Western_Europe
ErikvanB,11,21,0,0,1,6,0,3,63,31,18,0,9,7,0,14,10,16,124,9,28,404,6,781,Geography.Regions.Europe.Western_Europe
Sokrates 399,2,24,0,0,0,0,0,2,43,15,16,0,2,1,5,2,189,15,227,9,6,185,4,747,Geography.Regions.Europe.Europe*
Masti,20,5,0,0,1,0,0,0,30,11,21,0,3,2,0,1,5,277,337,7,7,14,6,747,Geography.Regions.Europe.Europe*
Emerson1002,0,0,0,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,739,Geography.Regions.Americas.South_America
Friniate,7,6,0,0,1,0,0,1,72,27,27,0,0,5,0,5,79,3,256,5,221,22,0,737,Geography.Regions.Europe.Europe*
Oeleau,1,9,0,0,0,0,0,4,24,10,8,0,0,0,0,1,1,309,336,1,3,18,0,725,Geography.Regions.Europe.Europe*
Términus,0,1,0,0,2,0,0,2,10,20,176,0,0,3,0,0,438,18,20,1,25,5,1,722,Geography.Regions.Asia.West_Asia
Lost in subtitles,9,29,0,0,4,0,0,21,79,173,32,0,25,8,6,5,28,13,76,12,136,51,11,718,Geography.Regions.Americas.South_America
Marco127310,0,11,0,0,0,0,0,11,9,3,22,0,0,9,10,0,4,22,366,72,23,148,2,712,Geography.Regions.Europe.Europe*
Sgh45,3,206,0,0,309,0,0,0,2,1,45,0,2,1,1,0,113,1,13,1,2,6,0,706,Geography.Regions.Africa.Northern_Africa
Michi81,10,17,0,0,0,1,0,12,195,15,50,4,6,17,0,3,53,19,92,13,146,38,14,705,Geography.Regions.Americas.North_America
Wi1-ch,0,16,0,0,0,0,0,5,92,14,147,0,0,77,42,11,75,62,82,1,2,63,10,699,Geography.Regions.Asia.Asia*
Dmitry V. Vinogradov,0,0,0,0,0,0,0,0,0,0,565,0,0,1,0,0,0,43,87,0,0,0,0,696,Geography.Regions.Asia.Asia*
Psychloppos,1,0,0,0,0,0,0,0,652,0,17,0,0,0,0,1,3,0,4,0,0,2,0,680,Geography.Regions.Americas.North_America
YogSothoth,3,20,0,0,0,2,0,3,41,8,31,0,9,3,5,1,67,13,170,13,259,30,2,680,Geography.Regions.Europe.Southern_Europe
Aroblesm,0,0,0,0,0,0,0,0,0,671,2,0,0,0,0,0,0,0,1,0,2,1,0,677,Geography.Regions.Americas.South_America
AMBlanco25,0,274,0,0,0,0,0,111,7,277,0,0,0,0,0,0,0,0,0,0,0,0,7,676,Geography.Regions.Americas.South_America
Книжная пыль,0,0,0,0,0,0,0,0,1,0,0,0,664,0,0,0,7,0,3,0,0,1,0,676,Geography.Regions.Asia.East_Asia
Mr.Karhi,0,2,0,0,2,0,0,0,2,0,12,0,0,0,0,0,641,0,4,0,0,2,0,665,Geography.Regions.Asia.West_Asia
Gac,6,22,0,0,2,0,0,4,40,9,42,0,7,8,4,1,78,20,138,13,248,22,0,664,Geography.Regions.Europe.Southern_Europe
Letstown,2,57,0,2,7,0,0,14,391,44,30,0,3,0,2,4,9,12,44,5,8,13,11,658,Geography.Regions.Americas.North_America
RuedNL2,1,118,0,0,1,0,0,0,14,0,4,0,1,1,0,0,2,7,101,1,6,388,2,647,Geography.Regions.Europe.Western_Europe
Müllt-Renner,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,3,9,557,0,0,66,0,645,Geography.Regions.Europe.Europe*
CHr0m4tiko0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,645,Geography.Regions.Americas.South_America
Dominikcapuan,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,639,0,0,645,Geography.Regions.Europe.Southern_Europe
Happytravels,0,0,0,0,0,0,0,0,1,15,16,0,0,0,0,3,3,1,101,1,2,501,0,644,Geography.Regions.Europe.Western_Europe
Sayatek,6,5,0,0,0,2,0,3,21,2,39,0,0,1,0,0,46,15,96,9,364,30,1,640,Geography.Regions.Europe.Southern_Europe
Schilderwaldmeister,0,12,0,0,0,4,0,1,70,14,14,0,0,0,0,0,65,11,363,0,2,80,0,636,Geography.Regions.Europe.Europe*
Dreamerpedia,5,9,0,0,4,3,0,56,89,270,11,0,5,5,2,1,35,7,28,6,65,18,4,623,Geography.Regions.Americas.South_America
Pawmak,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,578,37,0,2,1,0,621,Geography.Regions.Europe.Eastern_Europe
Foxy5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,609,0,610,Geography.Regions.Europe.Western_Europe
Casisgaal,8,20,0,0,6,0,0,27,71,198,19,0,12,13,4,0,21,16,47,13,111,20,4,610,Geography.Regions.Americas.South_America
Orpaul,57,63,0,0,17,0,0,50,25,82,51,0,17,12,4,0,82,16,55,2,42,24,2,601,Geography.Regions.Americas.South_America
Lova Falk,0,186,0,0,0,0,0,0,148,3,60,0,5,0,61,0,97,7,21,8,1,2,1,600,Geography.Regions.Africa.Africa*
Ariam,3,4,0,0,1,0,0,2,8,1,10,0,0,1,0,0,5,1,76,473,0,7,0,592,Geography.Regions.Europe.Northern_Europe
MoQabot,33,63,0,0,70,0,0,4,11,10,121,0,3,6,4,2,159,4,59,9,13,17,2,590,Geography.Regions.Asia.West_Asia
Mareczekkk,1,1,0,0,0,0,0,1,31,12,7,0,0,0,0,0,0,380,141,1,8,6,0,589,Geography.Regions.Europe.Eastern_Europe
Disembodied Soul,9,17,0,0,2,0,0,2,37,6,22,0,7,7,1,2,29,28,92,283,5,27,7,583,Geography.Regions.Europe.Northern_Europe
Rubinbot,3,5,0,0,0,0,2,5,34,8,107,2,23,78,3,5,34,104,107,25,9,11,9,574,Geography.Regions.Asia.Asia*
Гренадеръ,0,0,0,0,0,0,0,0,0,0,155,0,0,129,0,0,0,148,133,0,0,0,0,565,Geography.Regions.Asia.Asia*
Jayen466,0,2,0,0,0,0,0,0,1,0,10,0,0,0,0,0,540,0,3,0,0,5,0,561,Geography.Regions.Asia.West_Asia
Retyr02,0,3,0,0,0,0,0,1,8,1,79,14,14,189,0,0,13,140,81,2,3,9,3,560,Geography.Regions.Asia.North_Asia
AndrzeiBOT,15,8,0,0,0,0,0,0,35,6,25,0,4,7,0,1,12,265,129,8,12,29,3,559,Geography.Regions.Europe.Eastern_Europe
TheDanStarko,0,3,0,0,0,0,0,1,12,11,42,0,2,78,0,0,0,50,16,331,1,8,0,555,Geography.Regions.Europe.Northern_Europe
Kitayama,15,9,0,0,0,0,0,2,22,5,20,0,11,2,0,2,15,16,65,324,17,21,3,549,Geography.Regions.Europe.Northern_Europe
De Disney,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,545,Geography.Regions.Asia.North_Asia
Karol740.bot,26,21,0,0,2,1,0,6,15,13,39,0,9,8,2,4,14,184,121,13,16,39,9,542,Geography.Regions.Europe.Eastern_Europe
Horst Gräbner,18,14,0,0,1,1,0,6,61,12,22,0,4,4,3,2,13,12,138,20,20,182,5,538,Geography.Regions.Europe.Western_Europe
ElBarcobasurero,0,6,0,0,1,0,0,67,40,346,7,0,0,0,1,0,38,12,4,0,6,6,0,534,Geography.Regions.Americas.South_America
Q-bit array,4,7,0,0,0,0,0,3,15,1,107,6,7,130,3,1,19,104,93,5,5,20,4,534,Geography.Regions.Asia.North_Asia
Desertdweller1983,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,524,0,0,0,2,0,0,533,Geography.Regions.Asia.West_Asia
Sailorsfriend,12,42,0,0,0,0,2,0,40,7,17,0,89,0,2,16,50,20,73,19,5,119,18,531,Geography.Regions.Europe.Western_Europe
Moiikke,8,13,0,0,1,1,0,2,24,10,23,1,6,5,2,4,18,11,79,7,29,287,0,531,Geography.Regions.Europe.Western_Europe
Faustino Sojo,0,0,0,0,0,0,0,1,0,522,0,0,0,0,0,0,0,2,0,0,2,0,0,527,Geography.Regions.Americas.South_America
Passau2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,1,0,521,Geography.Regions.Europe.Europe*
Szturnek,13,12,0,0,0,0,0,0,16,1,7,0,1,2,0,0,6,331,109,4,2,15,0,519,Geography.Regions.Europe.Eastern_Europe
Pennenetui3000,1,7,0,0,0,0,0,15,2,4,2,0,1,0,0,0,5,1,45,1,3,432,0,519,Geography.Regions.Europe.Western_Europe
Manyareasexpert,0,0,0,0,0,0,0,0,13,0,33,0,1,37,0,0,4,256,163,0,1,0,6,514,Geography.Regions.Europe.Eastern_Europe
Alej Gatito,0,0,0,0,0,0,0,0,0,513,1,0,0,0,0,0,0,0,0,0,0,0,0,514,Geography.Regions.Americas.South_America
Serecki,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,427,69,0,0,2,0,505,Geography.Regions.Europe.Eastern_Europe
Ennomien,10,1,0,0,0,0,0,9,10,1,1,0,3,0,0,0,0,0,122,4,4,337,0,502,Geography.Regions.Europe.Western_Europe
Sam Al-Sabri,4,21,0,0,17,0,0,1,12,3,131,0,0,2,1,0,274,2,19,0,4,10,0,501,Geography.Regions.Asia.West_Asia
Pichu VI,7,5,0,0,1,1,0,13,58,78,12,0,7,1,2,4,34,13,60,8,186,10,1,501,Geography.Regions.Europe.Southern_Europe
Boston9,10,6,0,0,0,0,0,0,11,0,7,0,0,1,0,2,0,286,174,0,1,1,0,499,Geography.Regions.Europe.Eastern_Europe
Libertad 17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,168,0,109,219,0,497,Geography.Regions.Europe.Western_Europe
CodeMars04,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,495,Geography.Regions.Americas.South_America
RomaineBot,5,33,0,0,3,3,0,10,23,11,43,0,15,4,1,5,26,8,76,14,45,161,6,492,Geography.Regions.Europe.Western_Europe
Muhends,42,1,0,0,0,0,0,0,0,0,389,0,0,0,0,0,56,0,2,0,0,0,0,490,Geography.Regions.Asia.Asia*
Michiger,0,0,0,0,0,0,0,1,109,336,11,0,12,0,0,0,4,1,6,0,4,4,0,488,Geography.Regions.Americas.South_America
Dr.mabuse,0,0,0,0,0,0,0,0,0,0,12,0,0,26,0,0,0,101,274,0,0,72,0,485,Geography.Regions.Europe.Europe*
Eandré,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,9,0,0,1,0,483,Geography.Regions.Asia.West_Asia
Werter1995,0,19,0,0,0,0,0,1,81,13,53,0,16,37,0,1,20,45,165,0,2,25,4,482,Geography.Regions.Europe.Europe*
Michel Bakni,0,6,0,0,78,0,0,0,6,0,55,0,0,1,0,0,317,0,0,0,11,3,0,477,Geography.Regions.Asia.West_Asia
Thomas Dresler,6,13,0,0,2,0,0,7,26,5,23,0,2,0,5,3,33,14,156,6,8,164,4,477,Geography.Regions.Europe.Western_Europe
Virum Mundi,8,14,0,0,1,1,0,13,32,75,16,0,8,4,1,0,47,13,69,21,85,64,3,475,Geography.Regions.Europe.Southern_Europe
Mason.Jones,0,0,0,0,0,0,0,4,453,0,0,0,0,0,1,0,0,9,3,1,1,2,0,474,Geography.Regions.Americas.North_America
Quinlan83,5,19,0,0,0,1,0,2,34,8,43,0,2,7,0,0,90,24,81,8,125,23,2,474,Geography.Regions.Europe.Southern_Europe
Polish number one,6,10,0,0,0,0,0,5,71,5,30,0,3,0,0,2,4,168,132,11,9,15,3,474,Geography.Regions.Europe.Eastern_Europe
PublicDomainFan08,0,0,0,0,0,0,0,0,408,0,5,0,47,0,0,0,7,0,5,1,0,0,0,473,Geography.Regions.Americas.North_America
Marima,0,5,0,0,0,0,0,0,4,0,5,1,4,6,0,0,6,31,51,349,2,8,0,472,Geography.Regions.Europe.Northern_Europe
RageJam,1,5,0,0,0,0,0,73,40,279,11,0,3,2,1,0,28,6,5,3,7,6,0,470,Geography.Regions.Americas.South_America
Karol739,6,9,0,0,1,2,0,3,23,4,26,0,1,3,2,0,7,256,105,3,2,14,2,469,Geography.Regions.Europe.Eastern_Europe
Khiari,12,18,0,0,0,0,0,8,33,243,23,0,2,1,1,0,14,8,47,14,27,13,0,464,Geography.Regions.Americas.South_America
FaChol,0,88,0,0,0,4,0,4,124,12,27,0,17,0,8,1,50,28,47,10,4,35,4,463,Geography.Regions.Americas.North_America
MaximPol07,1,7,0,0,0,0,0,0,12,0,61,0,3,183,0,0,11,86,82,7,2,4,0,459,Geography.Regions.Asia.North_Asia
إسلام,2,39,0,0,56,0,0,3,6,6,100,2,0,3,3,0,189,4,22,11,3,6,0,455,Geography.Regions.Asia.West_Asia
Arabsalam,1,0,0,0,1,0,0,0,329,11,7,0,4,0,1,2,22,4,23,2,7,40,1,455,Geography.Regions.Americas.North_America
H. Batuta,10,18,0,0,1,0,0,0,22,26,21,0,0,0,0,0,19,140,153,0,16,29,0,455,Geography.Regions.Europe.Europe*
Schotterebene,5,1,0,0,0,0,0,0,18,9,4,0,2,2,2,0,15,6,149,14,10,207,1,445,Geography.Regions.Europe.Western_Europe
Starship.paint,0,0,0,0,0,0,0,0,324,0,3,0,15,0,1,5,95,1,0,0,0,0,0,444,Geography.Regions.Americas.North_America
Moxmarco,5,51,0,0,10,0,0,0,33,11,15,0,0,28,4,0,64,7,53,19,136,3,1,440,Geography.Regions.Europe.Southern_Europe
Janitoalevic,3,0,0,0,0,0,0,0,93,307,0,0,0,0,0,0,0,5,5,0,4,19,1,437,Geography.Regions.Americas.South_America
Jose L Emiliano,0,0,0,0,0,0,0,3,0,359,4,0,0,0,0,0,1,1,58,0,10,0,0,436,Geography.Regions.Americas.South_America
РобоСтася,4,12,0,0,1,0,0,2,18,8,96,5,8,76,2,1,11,61,91,10,7,14,8,435,Geography.Regions.Asia.Asia*
Norbert zeescouts,25,20,0,0,0,9,0,0,17,13,16,0,0,0,0,9,2,4,61,10,20,226,2,434,Geography.Regions.Europe.Western_Europe
WIKI-WOLVERINE,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,430,0,0,0,0,434,Geography.Regions.Europe.Europe*
Clerkon,1,1,0,0,2,0,0,0,55,0,9,0,1,20,0,0,1,22,315,2,0,1,0,430,Geography.Regions.Europe.Europe*
Marcelo,9,0,0,0,1,0,0,1,2,398,1,0,0,0,0,0,1,4,3,0,8,1,0,429,Geography.Regions.Americas.South_America
Saschaporsche,27,10,0,0,1,0,0,6,23,11,8,0,1,4,2,1,30,7,81,5,11,197,2,427,Geography.Regions.Europe.Western_Europe
Mohammdaon,6,13,0,0,42,0,0,0,6,1,74,0,50,1,2,0,205,3,4,6,2,4,3,422,Geography.Regions.Asia.West_Asia
Serols,11,22,0,0,0,2,0,4,44,10,20,0,2,5,7,2,21,11,113,14,14,119,1,422,Geography.Regions.Europe.Western_Europe
عمر 154,2,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,73,0,0,0,0,0,0,419,Geography.Regions.Asia.Asia*
FMSky,0,1,0,0,0,0,0,0,330,2,12,0,2,0,3,1,10,2,16,16,2,20,0,417,Geography.Regions.Americas.North_America
Diopuld,1,8,0,0,0,0,0,0,12,3,4,0,1,1,13,8,2,3,144,1,9,191,15,416,Geography.Regions.Europe.Western_Europe
Cgixn,290,4,0,0,0,0,0,0,95,0,0,0,0,0,0,0,22,0,0,0,0,0,0,411,Geography.Geographical
Montgomery,3,10,0,0,1,0,0,18,54,89,32,0,9,4,2,1,9,4,70,14,68,20,2,410,Geography.Regions.Americas.South_America
Oltrepier,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,6,3,379,8,0,406,Geography.Regions.Europe.Southern_Europe
Aleksei m,1,0,0,0,0,0,0,0,0,0,113,0,0,50,0,0,17,164,50,0,3,7,0,405,Geography.Regions.Europe.Eastern_Europe
Torsolo,6,22,0,0,1,0,0,5,19,10,24,0,1,3,0,0,18,8,115,10,145,16,2,405,Geography.Regions.Europe.Southern_Europe
Ubenhagen,1,16,0,0,2,0,0,19,40,197,14,1,6,1,1,4,11,2,21,11,32,19,6,404,Geography.Regions.Americas.South_America
SilverShadow2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,48,0,339,1,0,403,Geography.Regions.Europe.Southern_Europe
Tector,14,7,0,0,2,0,0,6,25,306,2,0,0,0,4,0,3,10,9,3,5,3,4,403,Geography.Regions.Americas.South_America
Xuppu4276,0,0,0,0,0,0,0,361,3,33,0,0,0,0,0,0,0,0,3,0,0,0,0,400,Geography.Regions.Americas.Central_America
September12,0,114,0,0,0,0,0,33,10,20,58,0,10,0,2,12,14,24,34,16,15,18,15,395,Geography.Regions.Africa.Africa*
Pyy,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,44,342,0,2,1,394,Geography.Regions.Europe.Northern_Europe
NoonIcarus,1,0,0,0,0,0,0,6,4,350,1,0,0,0,0,0,5,0,8,2,7,8,0,392,Geography.Regions.Americas.South_America
Eduardosalg,5,4,0,0,4,0,0,13,111,142,3,0,13,1,2,0,2,4,57,5,22,3,1,392,Geography.Regions.Americas.South_America
Leonpolanco,2,6,0,0,1,0,0,21,74,150,16,0,7,1,1,2,13,11,23,12,35,11,4,390,Geography.Regions.Americas.South_America
Berid,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,366,4,0,0,1,0,0,388,Geography.Regions.Asia.West_Asia
McLovin2511,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,387,Geography.Regions.Americas.South_America
Gromolyak,7,7,0,0,2,0,0,2,17,3,60,1,4,65,0,2,3,88,103,4,4,11,3,386,Geography.Regions.Europe.Europe*
Milton.08aaa,2,7,0,0,0,0,0,13,22,7,16,0,3,2,1,0,6,18,61,187,14,25,1,385,Geography.Regions.Europe.Northern_Europe
BurghardRichter,0,0,0,0,0,0,0,0,21,1,5,0,1,0,0,2,1,6,163,24,3,156,0,383,Geography.Regions.Europe.Europe*
رشيدة رقي,0,33,0,0,339,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,382,Geography.Regions.Africa.Northern_Africa
